Ürün Adı,Tarih,Fiyat
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-06-19,190500.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-06-20,191000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-06-23,191500.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-06-26,192000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-06-29,192500.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-07-03,193000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-07-04,194333.33333333334
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-07-07,195666.66666666666
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-07-09,197000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-07-11,197000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-07-12,197000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-07-13,197000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-01-13,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-01-17,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-01-20,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-02-02,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-02-07,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-02-13,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-02-18,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-02-22,209000.0
Asus ROG Strix Scar 18 G834JY-N6040W Notebook,2025-02-26,209000.0
